ID_TA,closed,inactive,claimed,primary_cus,is_website,photo_count,is_video,cus_rest_rank,cus_rest_count,mail,tel,orig_url,URL_TA
d1112354,0,0,1,Italian,1,145,0,9,110,1,+421 905 119 381,https://www.tripadvisor.com//Restaurant_Review-g274924-d1112354-Reviews-Massimo_Ristorante-Bratislava_Bratislava_Region.html,https://www.tripadvisor.com//Restaurant_Review-g274924-d1112354-Reviews-Massimo_Ristorante-Bratislava_Bratislava_Region.html
d8286886,0,0,1,Unknown,1,5,0,,,1,,https://www.tripadvisor.com//Restaurant_Review-g274887-d8286886-Reviews-Beer_N_Scooter-Budapest_Central_Hungary.html,https://www.tripadvisor.com//Restaurant_Review-g274887-d8286886-Reviews-Beer_N_Scooter-Budapest_Central_Hungary.html
d13129638,0,0,1,Bar,1,91,0,138,310,0,+44 131 564 1901,https://www.tripadvisor.com//Restaurant_Review-g186525-d13129638-Reviews-Black_Ivy-Edinburgh_Scotland.html,https://www.tripadvisor.com//Restaurant_Review-g186525-d13129638-Reviews-Black_Ivy-Edinburgh_Scotland.html
d680417,0,0,1,Italian,1,54,0,,,1,+44 20 7222 7080,https://www.tripadvisor.com//Restaurant_Review-g186338-d680417-Reviews-Quirinale-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d680417-Reviews-Quirinale-London_England.html
d8758873,0,0,0,European,0,5,0,2619,2711,0,+351 21 600 9865,https://www.tripadvisor.com//Restaurant_Review-g189158-d8758873-Reviews-Lisboa_City-Lisbon_Lisbon_District_Central_Portugal.html,https://www.tripadvisor.com//Restaurant_Review-g189158-d8758873-Reviews-Lisboa_City-Lisbon_Lisbon_District_Central_Portugal.html
d12947542,0,0,0,European,1,20,0,448,492,0,+358 20 1234800,https://www.tripadvisor.com//Restaurant_Review-g189934-d12947542-Reviews-Bistro_Gimis-Helsinki_Uusimaa.html,https://www.tripadvisor.com//Restaurant_Review-g189934-d12947542-Reviews-Bistro_Gimis-Helsinki_Uusimaa.html
d8458643,0,0,1,Quick Bites,0,17,0,86,201,0,+33 1 40 20 53 20,https://www.tripadvisor.com//Restaurant_Review-g187147-d8458643-Reviews-Le_Comptoir_du_Louvre-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d8458643-Reviews-Le_Comptoir_du_Louvre-Paris_Ile_de_France.html
d12716384,0,0,0,Italian,1,32,0,87,247,0,+46 8 20 36 30,https://www.tripadvisor.com//Restaurant_Review-g189852-d12716384-Reviews-Il_Molo-Stockholm.html,https://www.tripadvisor.com//Restaurant_Review-g189852-d12716384-Reviews-Il_Molo-Stockholm.html
d7818546,0,0,0,Unknown,1,179,0,,,0,+39 06 9684 5937,https://www.tripadvisor.com//Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html,https://www.tripadvisor.com//Restaurant_Review-g187791-d7818546-Reviews-Jerry_Thomas_Speakeasy-Rome_Lazio.html
d7209625,0,0,1,Italian,0,14,0,3242,4813,1,+39 02 2953 2302,https://www.tripadvisor.com//Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html,https://www.tripadvisor.com//Restaurant_Review-g187849-d7209625-Reviews-M_ama_Milano-Milan_Lombardy.html
d958943,0,0,0,Greek,0,14,0,96,117,0,+49 89 3142805,https://www.tripadvisor.com//Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html,https://www.tripadvisor.com//Restaurant_Review-g187309-d958943-Reviews-Wrossis-Munich_Upper_Bavaria_Bavaria.html
d1344523,0,0,0,Italian,1,5,0,125,399,0,+49 40 50719891,https://www.tripadvisor.com//Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html,https://www.tripadvisor.com//Restaurant_Review-g187331-d1344523-Reviews-Il_Cammino-Hamburg.html
d7605609,0,0,1,French,1,12,0,6418,6971,0,+33 1 42 38 80 56,https://www.tripadvisor.com//Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html
d1093021,0,0,1,European,1,143,0,558,2377,1,+420 224 239 207,https://www.tripadvisor.com//Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html,https://www.tripadvisor.com//Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html
d10746918,0,0,1,French,1,226,0,3226,6971,1,+33 1 83 62 64 22,https://www.tripadvisor.com/Restaurant_Review-g187147-d4990732-Reviews-Le_Perchoir_Menilmontant-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d10746918-Reviews-Le_Perchoir-Paris_Ile_de_France.html
d6674944,0,0,1,European,1,104,1,32,492,0,+358 44 7753333,https://www.tripadvisor.com/Restaurant_Review-g189934-d6674944-Reviews-Restaurant_Kolmon3n-Helsinki_Uusimaa.html,https://www.tripadvisor.com//Restaurant_Review-g189934-d6674944-Reviews-Ravintola_Kolmon3n-Helsinki_Uusimaa.html
d7653791,0,0,0,Italian,1,8,0,7,17,0,+32 2 770 07 31,https://www.tripadvisor.com//Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html,https://www.tripadvisor.com//Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html
d8435085,0,0,0,Unknown,0,0,0,,,0,+43 660 5588458,https://www.tripadvisor.com//Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html,https://www.tripadvisor.com//Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html
d2188276,0,0,1,Bar,1,74,0,431,2424,1,+44 20 8858 5910,https://www.tripadvisor.com//Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html
d1216215,0,0,0,European,0,6,0,1292,2051,0,+34 933 11 10 40,https://www.tripadvisor.com//Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html
d11850449,0,0,1,Italian,1,256,0,1983,4813,0,+39 02 8352 8041,https://www.tripadvisor.com/Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Condurro_di_Michele_Condurro-Milan_Lombardy.html,https://www.tripadvisor.com//Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Da_Michele_I_Condurro-Milan_Lombardy.html
d2177920,0,0,1,Italian,1,24,0,81,211,0,+353 1 219 6033,https://www.tripadvisor.com/Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Restaurant-Dublin_County_Dublin.html,https://www.tripadvisor.com//Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Bistro-Dublin_County_Dublin.html
d2061134,0,0,1,Italian,1,75,0,1251,8345,1,+39 06 855 5127,https://www.tripadvisor.com//Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html,https://www.tripadvisor.com//Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html
d10133841,0,0,0,Mediterranean,0,76,0,1639,3541,0,+34 639 50 19 19,https://www.tripadvisor.com//Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html
d5795143,0,0,0,Mediterranean,0,21,0,2745,3541,0,+34 938 43 99 27,https://www.tripadvisor.com//Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html
d8537746,0,0,0,European,1,66,0,1001,1345,0,+34 671 72 52 19,https://www.tripadvisor.com//Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html,https://www.tripadvisor.com//Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html
d6539478,,1,,,,,,,,,,https://www.tripadvisor.com/Restaurants-g187497-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d6539478-Reviews-Crum-Barcelona_Catalonia.html
d8334752,,1,,,,,,,,,,https://www.tripadvisor.com/Restaurants-g187497-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d8334752-Reviews-Restaurante_Laumon-Barcelona_Catalonia.html
d11953078,0,0,1,French,1,13,0,3082,6971,1,+33 1 53 17 63 80,https://www.tripadvisor.com//Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html
d11749014,0,0,1,Quick Bites,1,35,0,,,1,+44 20 7929 8399,https://www.tripadvisor.com/Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle_Minster_Court-London_England.html
d3532770,0,0,0,Indian,0,11,0,32,51,1,+39 02 5811 1871,https://www.tripadvisor.com//Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html,https://www.tripadvisor.com//Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html
d13202032,,1,,,,,,,,,,https://www.tripadvisor.com/Restaurants-g187514-Madrid.html,https://www.tripadvisor.com//Restaurant_Review-g187514-d13202032-Reviews-Wan-Madrid.html
d1495732,0,0,1,Italian,1,168,0,60,126,1,+47 22 34 02 30,https://www.tripadvisor.com/Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Huset-Oslo_Eastern_Norway.html,https://www.tripadvisor.com//Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Ristorante-Oslo_Eastern_Norway.html
d3256188,0,0,1,Asian,1,25,0,1006,2115,1,+33 1 43 37 33 33,https://www.tripadvisor.com//Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html
d3339988,0,0,1,British,1,162,0,,,1,+44 345 700 0125,https://www.tripadvisor.com//Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html
d2095858,0,0,1,Dutch,1,95,0,120,1014,1,+31 20 675 7517,https://www.tripadvisor.com//Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,https://www.tripadvisor.com//Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html
d12170920,1,0,0,Unknown,1,1,0,,,0,+47 22 15 56 69,https://www.tripadvisor.com//Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html,https://www.tripadvisor.com//Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html
d1326624,0,0,1,French,1,209,0,1510,6971,1,+33 1 42 60 68 22,https://www.tripadvisor.com//Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html
d1018463,0,0,1,Moroccan,1,483,0,7,63,1,+44 20 7240 1796,https://www.tripadvisor.com/Restaurant_Review-g186338-d1018463-Reviews-Souk-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d1018463-Reviews-Souk_Bazaar-London_England.html
d11959505,0,0,0,Unknown,1,0,0,,,0,+33 7 53 58 77 42,https://www.tripadvisor.com//Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html,https://www.tripadvisor.com//Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html
